"";"seqIDs";"CPC2";"PLEK";"FEELnc";"CPAT";"LncFinder";"lncRNA_Mdeep"
"1";"MSTRG.3.1";1;1;1;0;0;1
"2";"MSTRG.4.1";1;1;0;1;0;1
"3";"MSTRG.6.1";1;1;0;0;0;1
"4";"ENSMGAT00000002807";1;1;0;0;0;0
"5";"MSTRG.49.1";1;1;0;0;0;0
"6";"ENSMGAT00000000563";1;0;0;1;0;1
"7";"MSTRG.52.5";1;1;0;0;0;0
"8";"MSTRG.52.6";1;1;0;0;0;0
"9";"MSTRG.52.7";1;1;0;0;0;0
"10";"MSTRG.53.1";1;1;0;0;0;0
"11";"MSTRG.54.2";1;1;0;0;0;1
"12";"MSTRG.55.1";1;1;0;0;0;0
"13";"MSTRG.57.1";1;1;0;0;1;0
"14";"ENSMGAT00000000023";1;0;0;1;0;1
"15";"MSTRG.59.1";1;1;0;0;0;1
"16";"MSTRG.61.1";1;1;0;0;1;0
"17";"MSTRG.60.2";1;0;0;0;0;0
"18";"MSTRG.60.3";1;1;0;0;0;0
"19";"MSTRG.60.4";1;1;0;0;0;0
"20";"MSTRG.62.1";1;1;0;0;0;0
"21";"MSTRG.60.6";1;1;0;0;0;1
"22";"ENSMGAT00000011552";1;0;0;0;0;0
"23";"MSTRG.60.8";1;1;0;0;0;0
"24";"MSTRG.62.4";1;1;0;0;0;0
"25";"ENSMGAT00000011573";1;1;0;0;0;0
"26";"MSTRG.65.1";1;1;0;0;0;1
"27";"MSTRG.66.1";1;1;0;0;0;1
"28";"MSTRG.67.1";1;1;0;0;0;1
"29";"MSTRG.68.1";1;1;0;0;0;0
"30";"MSTRG.68.5";1;1;0;0;0;0
"31";"MSTRG.68.6";1;1;0;0;0;0
"32";"MSTRG.70.1";1;1;0;0;1;1
"33";"MSTRG.70.2";1;1;0;0;0;0
"34";"MSTRG.71.1";1;1;0;1;0;1
"35";"MSTRG.72.1";1;1;0;0;0;0
"36";"MSTRG.73.1";1;1;0;0;0;1
"37";"MSTRG.74.1";1;1;0;0;0;1
"38";"MSTRG.76.1";1;1;0;0;0;0
"39";"MSTRG.78.1";1;1;0;0;0;1
"40";"MSTRG.78.2";1;1;0;0;0;1
"41";"MSTRG.78.3";1;1;0;0;0;1
"42";"MSTRG.78.4";1;1;0;0;0;0
"43";"MSTRG.78.5";1;1;0;0;1;1
"44";"MSTRG.1.1";1;1;0;0;0;0
"45";"MSTRG.8.1";1;1;1;1;0;1
"46";"MSTRG.9.1";1;0;0;0;0;0
"47";"ENSMGAT00000018535";1;0;0;1;0;0
"48";"MSTRG.9.4";1;1;0;0;0;0
"49";"MSTRG.10.1";1;1;0;1;0;0
"50";"ENSMGAT00000000335";1;0;0;1;1;1
"51";"ENSMGAT00000020692";1;0;0;0;0;0
"52";"MSTRG.14.1";1;1;0;1;0;1
"53";"MSTRG.14.2";1;1;0;1;0;1
"54";"MSTRG.15.1";1;1;0;0;0;0
"55";"MSTRG.18.1";1;1;0;0;0;0
"56";"MSTRG.19.1";1;1;0;0;0;1
"57";"ENSMGAT00000002834";1;1;0;0;0;0
"58";"MSTRG.2.1";1;1;0;0;0;1
"59";"MSTRG.34.2";1;0;0;0;0;1
"60";"MSTRG.34.3";1;1;0;0;0;0
"61";"MSTRG.35.1";1;1;0;0;0;0
"62";"MSTRG.34.4";1;1;0;0;0;1
"63";"MSTRG.22.1";1;1;0;0;0;0
"64";"MSTRG.23.1";1;1;0;0;0;1
"65";"MSTRG.24.1";1;1;0;0;0;0
"66";"MSTRG.25.1";1;1;0;1;0;1
"67";"MSTRG.26.1";1;1;0;0;0;0
"68";"MSTRG.27.1";1;1;0;0;0;0
"69";"MSTRG.28.1";1;1;0;0;0;0
"70";"MSTRG.29.1";1;1;0;0;0;1
"71";"MSTRG.30.1";1;1;0;0;0;0
"72";"MSTRG.30.2";1;1;0;0;0;0
"73";"ENSMGAT00000003029";1;1;0;0;0;0
"74";"ENSMGAT00000000259";1;0;0;1;1;1
"75";"ENSMGAT00000000360";1;0;0;1;1;1
"76";"ENSMGAT00000000608";1;0;0;1;1;1
"77";"MSTRG.33.1";1;1;0;0;0;0
"78";"MSTRG.36.1";1;1;0;1;0;0
"79";"MSTRG.38.1";1;1;0;0;1;1
"80";"MSTRG.40.1";1;1;0;0;1;0
"81";"MSTRG.40.2";1;1;0;0;1;0
"82";"MSTRG.39.3";1;1;0;0;0;0
"83";"MSTRG.40.4";1;0;0;0;0;0
"84";"MSTRG.40.5";1;1;0;0;0;0
"85";"MSTRG.40.6";1;1;0;0;0;0
"86";"MSTRG.40.7";1;1;0;0;1;1
"87";"MSTRG.40.8";1;1;0;0;0;1
"88";"MSTRG.40.9";1;1;0;0;0;1
"89";"MSTRG.41.1";1;0;0;0;0;1
"90";"MSTRG.45.1";1;1;0;0;0;1
"91";"MSTRG.46.1";1;1;0;0;0;0
"92";"MSTRG.80.1";1;1;0;0;0;0
"93";"ENSMGAT00000003264";1;0;0;0;0;0
"94";"ENSMGAT00000003289";1;1;0;0;0;0
"95";"MSTRG.94.1";1;1;0;0;0;0
"96";"MSTRG.94.4";1;1;0;0;0;0
"97";"ENSMGAT00000020109";1;1;0;0;0;0
"98";"ENSMGAT00000003433";1;1;0;0;0;0
"99";"MSTRG.99.1";1;0;0;0;0;0
"100";"MSTRG.84.1";1;1;0;0;0;1
"101";"MSTRG.85.1";1;1;0;0;0;0
"102";"MSTRG.86.1";1;1;0;0;0;1
"103";"MSTRG.87.1";1;1;0;0;0;0
"104";"MSTRG.87.2";1;1;0;0;0;0
"105";"MSTRG.88.1";1;1;0;0;0;0
"106";"MSTRG.89.1";1;0;0;0;1;0
"107";"MSTRG.90.1";1;0;0;0;1;0
"108";"MSTRG.104.6";1;1;0;0;1;0
"109";"MSTRG.105.1";1;1;0;0;0;0
"110";"MSTRG.105.3";1;1;0;0;0;1
"111";"MSTRG.105.2";1;1;0;0;1;1
"112";"MSTRG.105.4";1;1;0;0;0;0
"113";"MSTRG.105.5";1;0;0;0;0;0
"114";"MSTRG.106.1";1;1;0;0;0;1
"115";"ENSMGAT00000003895";1;1;0;0;0;0
"116";"MSTRG.110.1";1;1;0;0;0;0
"117";"MSTRG.111.1";1;1;0;0;0;0
"118";"MSTRG.112.1";1;1;0;0;0;0
"119";"MSTRG.113.1";1;0;0;0;0;0
"120";"MSTRG.114.1";1;1;0;0;0;0
"121";"ENSMGAT00000003969";1;0;0;0;0;0
"122";"MSTRG.116.1";1;1;0;0;0;0
"123";"MSTRG.118.1";1;1;0;0;0;0
"124";"MSTRG.118.2";1;1;0;0;0;0
"125";"MSTRG.118.3";1;1;0;0;0;0
"126";"MSTRG.119.1";1;1;0;0;0;0
"127";"MSTRG.120.1";1;1;0;0;0;0
"128";"ENSMGAT00000000029";1;0;0;1;1;1
"129";"MSTRG.122.1";1;1;0;1;0;0
"130";"MSTRG.124.1";1;0;0;0;0;1
"131";"MSTRG.125.1";1;1;0;0;0;0
"132";"MSTRG.126.1";1;1;0;0;0;0
"133";"MSTRG.127.2";1;1;0;0;0;0
"134";"MSTRG.127.3";1;1;0;0;0;0
"135";"ENSMGAT00000004157";1;1;0;0;0;0
"136";"MSTRG.132.5";1;1;0;0;0;0
"137";"MSTRG.133.3";1;1;1;1;0;0
"138";"MSTRG.133.1";1;1;0;0;0;0
"139";"MSTRG.133.2";1;1;0;0;0;0
"140";"MSTRG.132.6";1;1;0;0;0;0
"141";"ENSMGAT00000004218";1;1;0;0;0;0
"142";"MSTRG.128.1";1;1;0;1;0;0
"143";"MSTRG.129.1";1;1;0;0;0;0
"144";"MSTRG.130.1";1;1;0;0;0;0
"145";"MSTRG.131.1";1;1;0;0;0;1
"146";"MSTRG.135.1";1;1;0;0;0;1
"147";"ENSMGAT00000004233";1;1;0;0;0;0
"148";"MSTRG.137.1";1;1;0;0;0;1
"149";"MSTRG.138.1";1;1;0;0;0;0
"150";"MSTRG.139.1";1;1;0;1;1;1
"151";"MSTRG.140.1";1;1;0;0;0;0
"152";"MSTRG.141.1";1;1;1;0;0;0
"153";"MSTRG.141.2";1;1;1;1;0;1
"154";"MSTRG.141.3";1;1;1;1;0;1
"155";"MSTRG.141.4";1;1;1;1;0;0
"156";"MSTRG.142.1";1;1;0;0;0;0
"157";"MSTRG.143.1";1;1;0;0;0;0
"158";"ENSMGAT00000004224";1;0;0;1;0;0
"159";"MSTRG.143.3";1;1;0;0;0;0
"160";"MSTRG.143.2";1;1;0;0;0;0
"161";"MSTRG.143.5";1;0;0;0;0;0
"162";"MSTRG.143.6";1;0;0;0;0;0
"163";"MSTRG.144.1";1;1;0;0;0;0
"164";"MSTRG.145.1";1;1;0;1;0;1
"165";"MSTRG.146.1";1;1;0;0;0;0
"166";"MSTRG.147.1";1;1;0;0;0;0
"167";"MSTRG.148.3";1;1;0;0;0;0
"168";"MSTRG.148.1";1;1;0;0;0;0
"169";"MSTRG.148.2";1;1;0;0;0;0
"170";"MSTRG.148.4";1;1;0;0;0;0
"171";"MSTRG.148.5";1;1;0;0;0;0
"172";"MSTRG.148.6";1;1;0;0;0;0
"173";"MSTRG.148.11";1;1;0;0;0;0
"174";"MSTRG.148.14";1;1;0;0;0;0
"175";"MSTRG.148.10";1;1;0;0;0;0
"176";"MSTRG.148.12";1;1;0;0;0;0
"177";"MSTRG.148.13";1;1;0;0;0;0
"178";"MSTRG.148.9";1;1;0;0;0;0
"179";"MSTRG.148.7";1;1;0;0;0;0
"180";"MSTRG.148.8";1;1;0;0;0;0
"181";"MSTRG.149.1";1;1;0;0;0;0
"182";"MSTRG.148.15";1;1;0;0;0;0
"183";"MSTRG.150.1";1;1;0;0;0;1
"184";"MSTRG.151.1";1;1;0;0;0;0
"185";"MSTRG.152.1";1;1;0;0;0;1
"186";"MSTRG.153.1";1;1;0;0;0;0
"187";"MSTRG.154.1";1;1;0;0;0;1
"188";"MSTRG.155.1";1;1;0;0;0;0
"189";"MSTRG.156.1";1;1;0;0;0;0
"190";"MSTRG.157.1";1;1;0;0;0;0
"191";"MSTRG.158.1";1;1;0;0;0;0
"192";"MSTRG.159.1";1;1;0;1;0;0
"193";"MSTRG.160.1";1;1;0;0;0;0
"194";"MSTRG.161.1";1;1;0;0;0;0
"195";"MSTRG.162.1";1;1;0;1;0;0
"196";"MSTRG.163.1";1;1;0;0;0;0
"197";"MSTRG.164.2";1;1;0;0;0;0
"198";"MSTRG.164.3";1;1;0;0;0;0
"199";"MSTRG.164.1";1;0;0;0;0;0
"200";"MSTRG.164.4";1;1;0;0;0;0
"201";"MSTRG.165.1";1;1;0;0;0;0
"202";"MSTRG.165.2";1;1;0;0;0;0
"203";"MSTRG.166.1";1;1;0;0;0;0
"204";"MSTRG.167.1";1;1;0;0;0;0
"205";"MSTRG.167.2";1;1;0;0;0;0
"206";"MSTRG.168.1";1;1;0;0;0;0
"207";"MSTRG.169.1";1;1;0;0;0;1
"208";"MSTRG.170.1";1;1;0;0;0;0
"209";"MSTRG.171.1";1;0;0;0;1;0
"210";"MSTRG.172.1";1;1;0;0;0;1
"211";"MSTRG.173.1";1;1;0;0;0;0
"212";"MSTRG.173.2";1;1;0;0;0;0
"213";"MSTRG.174.1";1;1;0;0;0;0
"214";"MSTRG.175.1";1;1;0;0;0;1
"215";"MSTRG.177.1";1;1;0;0;0;0
"216";"MSTRG.178.1";1;1;0;0;0;1
"217";"MSTRG.179.1";1;0;0;0;1;0
"218";"MSTRG.181.1";1;1;0;0;0;0
"219";"MSTRG.180.1";1;1;0;1;0;0
"220";"MSTRG.182.1";1;1;0;0;0;0
"221";"MSTRG.183.1";1;1;0;0;0;0
"222";"MSTRG.184.1";1;1;0;0;0;1
"223";"MSTRG.185.1";1;1;0;0;0;0
"224";"MSTRG.186.1";1;1;0;1;0;0
"225";"MSTRG.187.1";1;1;0;0;0;0
"226";"MSTRG.188.1";1;1;0;1;0;1
"227";"MSTRG.189.1";1;1;0;0;0;0
